ENSG00000107105	ELAVL2
ENSG00000198408	MGEA5
ENSG00000187323	DCC
ENSG00000167281	RBFOX3
ENSG00000186868	MAPT
ENSG00000105088	OLFM2
ENSG00000165323	FAT3
ENSG00000115464	USP34
ENSG00000008441	NFIX
ENSG00000119866	BCL11A
ENSG00000131067	GGT7
ENSG00000143473	KCNH1
ENSG00000145242	EPHA5
ENSG00000149256	ODZ4
ENSG00000245526	
ENSG00000160469	BRSK1
ENSG00000165300	SLITRK5
ENSG00000169855	ROBO1
ENSG00000128573	FOXP2
ENSG00000142949	PTPRF
ENSG00000148798	INA
ENSG00000150625	GPM6A
ENSG00000181722	ZBTB20
ENSG00000182256	GABRG3
ENSG00000188580	NKAIN2
ENSG00000048471	SNX29
ENSG00000134138	MEIS2
ENSG00000139910	NOVA1
ENSG00000164076	CAMKV
ENSG00000183049	CAMK1D
ENSG00000120088	CRHR1
ENSG00000157837	SPPL3
ENSG00000080503	SMARCA2
ENSG00000198646	NCOA6
ENSG00000225465	
ENSG00000256762	STH
ENSG00000163590	PPM1L
ENSG00000008300	CELSR3
ENSG00000136805	C9orf4
ENSG00000163618	CADPS
ENSG00000147862	NFIB
ENSG00000171735	CAMTA1
ENSG00000169213	RAB3B
ENSG00000182968	SOX1
ENSG00000074603	DPP8
ENSG00000140848	CPNE2
ENSG00000026559	KCNG1
ENSG00000164061	BSN
ENSG00000118946	PCDH17
ENSG00000156395	SORCS3
ENSG00000183454	GRIN2A
ENSG00000232159	
ENSG00000234108	
ENSG00000185829	ARL17A
ENSG00000170382	LRRN2
ENSG00000256463	SALL3
ENSG00000101489	CELF4
ENSG00000123352	SPATS2
ENSG00000073969	NSF
ENSG00000100154	TTC28
ENSG00000162929	KIAA1841
ENSG00000183955	SETD8
ENSG00000066135	KDM4A
ENSG00000152217	SETBP1
ENSG00000183117	CSMD1
ENSG00000132294	EFR3A
ENSG00000148204	CRB2
ENSG00000170485	NPAS2
ENSG00000183166	CALN1
ENSG00000074696	PTPLAD1
ENSG00000152894	PTPRK
ENSG00000108379	WNT3
ENSG00000171988	JMJD1C
ENSG00000172733	PURG
ENSG00000143786	CNIH3
ENSG00000233593	
ENSG00000120029	C10orf76
ENSG00000120071	KIAA1267
ENSG00000131558	EXOC4
ENSG00000144460	NYAP2
ENSG00000168505	GBX2
ENSG00000137872	SEMA6D
ENSG00000140015	KCNH5
ENSG00000140937	CDH11
