ENSG00000124177	CHD6
ENSG00000115464	USP34
ENSG00000107862	GBF1
ENSG00000119866	BCL11A
ENSG00000082898	XPO1
ENSG00000171681	ATF7IP
ENSG00000155111	CDK19
ENSG00000133624	-
ENSG00000135250	SRPK2
ENSG00000004534	RBM6
ENSG00000184305	FAM190A
ENSG00000144524	COPS7B
ENSG00000054282	SDCCAG8
ENSG00000178252	WDR6
ENSG00000198198	SZT2
ENSG00000187323	DCC
ENSG00000151779	NBAS
ENSG00000114439	BBX
ENSG00000198408	MGEA5
ENSG00000198218	QRICH1
ENSG00000131558	EXOC4
ENSG00000131697	NPHP4
ENSG00000120029	C10orf76
ENSG00000003756	RBM5
ENSG00000166167	BTRC
ENSG00000121716	PILRB
ENSG00000080503	SMARCA2
ENSG00000198728	LDB1
ENSG00000155561	NUP205
ENSG00000081189	MEF2C
ENSG00000066135	KDM4A
ENSG00000100749	VRK1
ENSG00000197386	HTT
ENSG00000080802	CNOT4
ENSG00000114316	USP4
ENSG00000172046	USP19
ENSG00000144218	AFF3
ENSG00000135775	COG2
ENSG00000166197	NOLC1
ENSG00000184486	POU3F2
ENSG00000186960	C14orf23
ENSG00000008441	NFIX
